AD NAME,"SENTIENT REVIEW LINK
(catcher page)",ID,Expires,Payout,ad_code,width,height,homepage?,video_page?,other_pages?,is_text_ad,,,,,,
  1&1 Internet - Tiered Campaign (Run This Offer)  ,http://order.1and1.com/xml/order/Hosting;jsessionid=67A39B2325B4FE9225E54C77750A2EE4.TC60a?ac=OM.US.US860K13380T7073a&affiliate_id=35435,5806,12/21/08,$9.00,"<a href='http://x.azjmp.com/1GfQd'><img src='http://images1.azoogleads.com/ssa/5806_banners/248233.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfQg"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
  1&1 Internet - Tiered Campaign (Run This Offer)  ,http://order.1and1.com/xml/order/Hosting;jsessionid=67A39B2325B4FE9225E54C77750A2EE4.TC60a?ac=OM.US.US860K13380T7073a&affiliate_id=35435,5806,12/21/08,$9.00,"<a href='http://x.azjmp.com/1GfQY'><img src='http://images1.azoogleads.com/ssa/5806_banners/248235.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfQb"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
  1&1 Internet - Tiered Campaign (Run This Offer)  ,http://order.1and1.com/xml/order/Hosting;jsessionid=67A39B2325B4FE9225E54C77750A2EE4.TC60a?ac=OM.US.US860K13380T7073a&affiliate_id=35435,5806,12/21/08,$9.00,"<a href='http://x.azjmp.com/1GfNR'><img src='http://images1.azoogleads.com/ssa/5806_banners/248236.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfNT"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
  101inks.com - Low Price InkJet Cartridges ,http://www.101inks.com/,241,11/9/08,$17.00,"<a href='http://x.azjmp.com/1GfQl'><img src='http://images1.azoogleads.com/ssa/241_banners/129690.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfQn"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfVv'><img src='http://images.imgehost.com/3143/banners/05172007/console_125x125.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfVx"" height=""1"" width=""1""></div>",125,125,no,no,mess_board_right,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfVz'><img src='http://images.imgehost.com/3143/banners/05172007/text_125x125.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfW1"" height=""1"" width=""1""></div>",125,125,no,no,mess_board_right,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfSv'><img src='http://images.imgehost.com/5056/banners/29102007/160x600_200708.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfSx"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href=""http://x.azjmp.com/1GfT3""><img src=""http://images.imgehost.com/3143/Aug2006/banners/comp1a_160x600.gif"" border=""0"" width=""160"" height=""600""></a><div style=""position:relative left:-1px; top:-1px;""><img src=""http://i.azjmp.com/1GfT5"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfT7'><img src='http://images.imgehost.com/3143/banners/05172007/text_250x250.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfT9"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfTC'><img src='http://images.imgehost.com/5056/banners/29102007/300x250b_200708.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfTF"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
  Gamefly 10 Day Free Trial - Search Only,https://www.gamefly.com/offer/Default.asp?,3143,8/1/08,$18.75,"<a href='http://x.azjmp.com/1GfTK'><img src='http://images.imgehost.com/3143/banners/05172007/console_300x250.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GfTM"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
  Handbag Test Panel I Zip Submit ,http://www.handbagtestpanel.com/?lid=::add-8619_htp_35435&add_offerid=8414214,5764,1/9/08,$0.85,"<a href='http://x.azjmp.com/1Gff3'><img src='http://images1.azoogleads.com/ssa/5764_banners/127618.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gff5"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
  Handbag Test Panel I Zip Submit ,http://www.handbagtestpanel.com/?lid=::add-8619_htp_35435&add_offerid=8414214,5764,1/9/08,$0.85,"<a href='http://x.azjmp.com/1Gfdz'><img src='http://images1.azoogleads.com/ssa/5764_banners/127619.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gff1"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
  Handbag Test Panel I Zip Submit ,http://www.handbagtestpanel.com/?lid=::add-8619_htp_35435&add_offerid=8414214,5764,1/9/08,$0.85,"<a href='http://x.azjmp.com/1Gfdq'><img src='http://images1.azoogleads.com/ssa/5764_banners/127620.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gfds"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
  Zwinkys I International - ZJxdm247 ,http://zwinky.smileycentral.com/download/index.jhtml?partner=ZJxdm247&nsrc=az2&click_hash=21IEdAi,5525,7/1/08,$0.18,"<a href='http://x.azjmp.com/1Gqvx'><img src='http://images.imgehost.com/3047/banners/12082006/zwinky_02_300x250.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gqvz"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
1800PetMeds,http://www.1800petmeds.com/index.asp?MID=1565&CID=10913,4620,11/4/08,$11.00,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=7"" width=""720"" height=""300"">
<param name=""movie"" value=""http://i.1100i.com/4620/flash/20062007/720x300_digger3.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1Gr1R"" />
<embed src=""http://i.1100i.com/4620/flash/20062007/720x300_digger3.swf?clickTAG=http://x.azjmp.com/1Gr1R"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""720"" height=""300""></embed>
</object><img src=""http://i.azjmp.com/1Gr1T"" height=""1"" width=""1"">",720,300,no,no,mess_board_bottom,no,,,,,,
Blockbuster Total Access,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoog006/r.35435/?&nsrc=az2&click_hash=11JTXgX,4529,5/31/08,$26.00,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=7"" width=""120"" height=""600"">
<param name=""movie"" value=""http://i.1100i.com/898/flash/04272007/BLO_10919a_2WAYS_120x600.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1Gr59"" />
<embed src=""http://i.1100i.com/898/flash/04272007/BLO_10919a_2WAYS_120x600.swf?clickTAG=http://x.azjmp.com/1Gr59"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""120"" height=""600""></embed>
</object><img src=""http://i.azjmp.com/1Gr5C"" height=""1"" width=""1"">",120,600,no,no,mess_board_right,no,,,,,,
Blockbuster Total Access,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoog006/r.35435/?&nsrc=az2&click_hash=11JTXgX,4539,5/31/08,$26.00,"<a href=""http://x.azjmp.com/1Gr4n""><img src=""http://i.1100i.com/898/Feb2005/banners2/aff_mailbox_300x250.jpg"" border=""0"" width=""300"" height=""250""></a><div style=""position:relative left:-1px; top:-1px;""><img src=""http://i.azjmp.com/1Gr4q"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
Blockbuster Total Access,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoog006/r.35435/?&nsrc=az2&click_hash=11JTXgX,4529,5/31/08,$26.00,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=7"" width=""425"" height=""600"">
<param name=""movie"" value=""http://i.1100i.com/898/flash/04272007/BLO_10919a_2WAYS_425x600.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1Gr4x"" />
<embed src=""http://i.1100i.com/898/flash/04272007/BLO_10919a_2WAYS_425x600.swf?clickTAG=http://x.azjmp.com/1Gr4x"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""425"" height=""600""></embed>
</object><img src=""http://i.azjmp.com/1Gr4z"" height=""1"" width=""1"">",425,600,no,yes,no,no,,,,,,
Blockbuster Total Access *Incentivized*,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoo004/r.35435/?&nsrc=az2&click_hash=11Krqx9,898,7/28/09,$26.00,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6"" width=""300"" height=""250"">
<param name=""movie"" value=""http://i.1100i.com/898/flash/04232007/300x250_AOL_TVSPOT_FREETRIAL.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1Gr61"" />
<embed src=""http://i.1100i.com/898/flash/04232007/300x250_AOL_TVSPOT_FREETRIAL.swf?clickTAG=http://x.azjmp.com/1Gr61"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""300"" height=""250""></embed>
</object><img src=""http://i.azjmp.com/1Gr63"" height=""1"" width=""1"">",300,250,yes,yes,mess_board_bottom,no,,,,,,
Boca Java,https://www.bocajava.com/cluboffer_fourfree.jsp?CID=1&promo=azoogle_trybocajava&CID=1&AID=35435,5599,10/24/08,$23.50,"<a href='http://x.azjmp.com/1Gr9z'><img src='http://images1.azoogleads.com/ssa/5599_banners/130819.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrB1"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
Boca Java,https://www.bocajava.com/cluboffer_fourfree.jsp?CID=1&promo=azoogle_trybocajava&CID=1&AID=35435,5599,10/24/08,$23.50,"<a href='http://x.azjmp.com/1Gr9j'><img src='http://images1.azoogleads.com/ssa/5599_banners/130820.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gr9l"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Boca Java,https://www.bocajava.com/cluboffer_fourfree.jsp?CID=1&promo=azoogle_trybocajava&CID=1&AID=35435,5599,10/24/08,$23.50,"<a href='http://x.azjmp.com/1Gr9b'><img src='http://images1.azoogleads.com/ssa/5599_banners/130825.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gr9d"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Boca Java,https://www.bocajava.com/cluboffer_fourfree.jsp?CID=1&promo=azoogle_trybocajava&CID=1&AID=35435,5599,10/24/08,$23.50,"<a href='http://x.azjmp.com/1Gr99'><img src='http://images1.azoogleads.com/ssa/5599_banners/130828.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Gr9C"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
Cabin Cuddler,http://cabincuddler.com/azoogle/?35435,6018,2/22/09,$10.25,"<a href='http://x.azjmp.com/1GrBl'><img src='http://images1.azoogleads.com/ssa/6018_banners/247142.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrBn"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Cabin Cuddler,http://cabincuddler.com/azoogle/?35435,6018,2/22/09,$10.25,"<a href='http://x.azjmp.com/1GrD3'><img src='http://images1.azoogleads.com/ssa/6018_banners/247144.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrD5"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Cabin Cuddler,http://cabincuddler.com/azoogle/?35435,6018,2/22/09,$10.25,"<a href='http://x.azjmp.com/1GrBg'><img src='http://images1.azoogleads.com/ssa/6018_banners/247145.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrBj"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrPs'><img src='http://images1.azoogleads.com/ssa/5765_banners/127633.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrPv"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrQ7'><img src='http://images1.azoogleads.com/ssa/5765_banners/127622.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrQ9"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrPP'><img src='http://images1.azoogleads.com/ssa/5765_banners/127632.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrPR"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrLq'><img src='http://images1.azoogleads.com/ssa/5765_banners/127624.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrLs"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,"Please note, there are search restrictions on this campaign.  You MAY NOT bid on all the keywords in the keyword
list below.  Please ensure that you download this list and review it prior to any search activity.

Download the keyword list here: http://reports.azoogleads.com/4736_searchrestrictions.doc

**Prior to picking this offer up, please provide your url and get your site approved by your affiliate manager.
Leads generated prior to approval will be charged back. 
",,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrMM'><img src='http://images1.azoogleads.com/ssa/5765_banners/127645.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrMP"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
