AD NAME,"SENTIENT REVIEW LINK
(catcher page)",ID,Expires,Payout,text_ad_link,display_text,homepage,videopage,otherpage
  101inks.com - Low Price InkJet Cartridges ,http://www.101inks.com/,241,"Nov 9, 2008",$17,http://x.azjmp.com/1GfQj,Low Price InkJet Cartridges,,,text_ad
Netflix,http://www.netflix.com/Register?mqso=60189433&ls_sourceid=RJq7iIK2Foo-6N6HfH0GFDNduDgXeHQ9aw,430,"Sep 18, 2008",$26.50,http://x.azjmp.com/1GssH,Netflix Special,,,text_ad
Blockbuster Total Access *Incentivized*,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoo004/r.35435/?&nsrc=az2&click_hash=11Krqx9,898,"Jul 28, 2009",$26,http://x.azjmp.com/1Gr5n,Blockbuster Total Access Special,,,text_ad
Sharebuilder.com,https://www.sharebuilder.com/sharebuilder/Setup/Default.aspx,960,"Nov 14, 2008",$17.75,http://x.azjmp.com/1Gsj9,Sharebuilder.com - Get Started in the Stock Market,,,text_ad
Jamster Ring Tones,http://ad.jamster.com/landingpages/campaigns/int_o_flow/blue_3cat/?adv_partner=0010&partner_var=159,2940,"Jun 7, 2009",$9.70,http://x.azjmp.com/1GsHv,Jamster - Ringtones,,,text_ad
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,http://x.azjmp.com/1GrcP,2008 Entertainment Book ,,,text_ad
  Gamefly 10 Day Free Trial ,https://www.gamefly.com/offer/Default.asp?,3143,"Aug 1, 2008",$18.75,http://x.azjmp.com/1GfSP,Gamefly 10 Day Free Trial,,,text_ad
Exclusive RockinRinger,http://ad.jamster.com/landingpages/campaigns/int_o_flow/blue_3cat/?adv_partner=0010&partner_var=159,3375,"Jan 1, 2009",$13,http://x.azjmp.com/1GsTj,Jamster - Exclusive RockinRinger,,,text_ad
Monster.com FastWeb - Free Scholarship for School (Web) ,http://www.fastweb.com/fastweb/register/start?ref=azoogle_ban-1f--,3846,"Jan 31, 2009",$2.90,http://x.azjmp.com/1Gsm7,Monster.com FastWeb - Free Scholarship for School,,,text_ad
PurePlay- Play Poker and Win Cash!! (Email Submit),http://www.pureplay.com/registration_free_test_1.1/?c=M11T2S616&a=35435,3927,"Aug 3, 2008",$1.30,http://x.azjmp.com/1Gskq,PurePlay- Play Poker and Win Cash!!,,,text_ad
DelightfulDeliveries.com,http://www.delightfuldeliveries.com/eoneCommerce/Shop?Dsp=20005&mrefOccasion=Valentines%20Day&mrefOccasiontypem=1&SOURCE=AZOOGLE&KEYWORD=35435,4028,"Dec 15, 2008",$11,http://x.azjmp.com/1GrVg,DelightfulDeliveries.com is America's #1 Gift Basket & Gourmet Gifts Website,,,text_ad
eHarmony,http://www.eharmony.com/singles/servlet/registration?cid=1237&aid=35435,4446,"Sep 26, 2008",$3.95,http://x.azjmp.com/1GrWP,Find Your Match -   eHarmony ,,,text_ad
Blockbuster Total Access,https://www.blockbuster.com/signup/rp/regPlan/p.26786/pc.azoog006/r.35435/?&nsrc=az2&click_hash=11JTXgX,4539,"May 31, 2008",$26,http://x.azjmp.com/1Gr2q,Blockbuster Total Access Special,,,text_ad
1800PetMeds,http://www.1800petmeds.com/index.asp?MID=1565&CID=10913,4620,"Nov 4, 2008",$11,http://x.azjmp.com/1Gr1M,1-800-PetMeds - Save up to $20 Now! ,,,text_ad
iLearn 101,http://www.ilearn101.com/zipSearch.htm?sourceId=AZGL&nopop=1&publisherSubId=&publisherId=35435,4736,"Jun 12, 2008",$24.25,http://x.azjmp.com/1Gs3Y,Online databases of colleges and programs searchable by zip. ,,,text_ad
Reunion.com | White Label | SinglesReconnect.com ,http://affiliates.reunion.com/a/landa/download/nl-bl-ps.html?s_cid=AFF006880156AZ-35435,4772,"May 3, 2008",$1.30,http://x.azjmp.com/1Gfj9,Reunite with old friends and acquaintances,,,text_ad
GameVance Download - Incentivized ,http://landing.gamevance.com/member_hardware_software_requirements.php,4779,"Jun 15, 2008",$1.35,http://x.azjmp.com/1GryY,GameVance-Download Games ,,,text_ad
Napster,http://www.napster.com/choose/index_default.html,5222,"Mar 31, 2008",$7.30,http://x.azjmp.com/1GsrK,Napster 7 Day Free Trial,,,text_ad
IMVU,http://www.imvu.com/catalog/web_landing.php?p=az1&c=an2,5233,"Oct 15, 2010",$0.55,http://x.azjmp.com/1GsBY,Try IMVU,,,text_ad
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,"Nov 27, 2008",$16.75,http://x.azjmp.com/1GrRR,Cricket Wireless,,,text_ad
  Zwinkys I International - ZJxdm247 ,http://zwinky.smileycentral.com/download/index.jhtml?partner=ZJxdm247&nsrc=az2&click_hash=21IEdAi,5525,"Jul 1, 2008",$0.18,http://x.azjmp.com/1GqrR,Zwinkys - Create your own 3D image?,,,text_ad
Boca Java,https://www.bocajava.com/cluboffer_fourfree.jsp?CID=1&promo=azoogle_trybocajava&CID=1&AID=35435,5599,"Oct 24, 2008",$23.50,http://x.azjmp.com/1Gr6W,4 Complimentary Bags of Coffee - Boca Java,,,text_ad
Gevalia,http://www.joingevalia.com/promo/Gev0711/promo1683.htm?keycode=115291&&affiliate_id-sub_id=35435&,5650,"Nov 29, 2008",$14.50,http://x.azjmp.com/1Fygq,Try the Gevalia Kaffe Program,,,text_ad
Mixaloo | Digital Mix Tapes | US Only ,http://www.mixaloo.com/small_landing_1.php?c=18&aff=35435,5751,"Dec 6, 2008",$0.75,http://x.azjmp.com/1Gskx,Create your own digital mix tape!,,,text_ad
  Handbag Test Panel I Zip Submit ,http://www.handbagtestpanel.com/?lid=::add-8619_htp_35435&add_offerid=8414214,5764,"Jan 9, 2008",$0.85,http://x.azjmp.com/1GfYj,Win a FREE Designer Handbag,,,text_ad
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,"Jan 29, 2009",$0.85,http://x.azjmp.com/1GrDF,Callaway FT-5 Tour Driver and Iron Set,,,text_ad
"Product Test Panel I Apple MacBook I Zip Submit (if we want to go the ""freebie"" route)",http://producttestpanel.com/macbook/?lid=::add-8619_mbpro_35435&add_offerid=5543763&addomain=grz67.com,5766,"Jan 9, 2009",$0.85,http://x.azjmp.com/1GsmM,Win a FREE Apple MacBook,,,text_ad
  1&1 Internet - Tiered Campaign (Run This Offer)  ,http://order.1and1.com/xml/order/Hosting;jsessionid=67A39B2325B4FE9225E54C77750A2EE4.TC60a?ac=OM.US.US860K13380T7073a&affiliate_id=35435,5806,"Dec 21, 2008",$9,http://x.azjmp.com/1Gd7P,3 Months Free Web Hosting,,,text_ad
